season,driver_id,driver_final_pts,driver_final_pos,driver_season_wins,constructor_id_drv
2022,gasly,23.0,14,0,alphatauri
2022,stroll,18.0,15,0,aston_martin
2022,mick_schumacher,12.0,16,0,haas
2022,tsunoda,12.0,17,0,alphatauri
2022,zhou,6.0,18,0,alfa
2022,albon,4.0,19,0,williams
2022,latifi,2.0,20,0,williams
2022,de_vries,2.0,21,0,williams
2022,hulkenberg,0.0,22,0,aston_martin
2023,max_verstappen,575.0,1,19,red_bull
2023,perez,285.0,2,2,red_bull
2023,hamilton,234.0,3,0,mercedes
2023,alonso,206.0,4,0,aston_martin
2023,leclerc,206.0,5,0,ferrari
2023,norris,205.0,6,0,mclaren
2023,sainz,200.0,7,1,ferrari
2023,russell,175.0,8,0,mercedes
2023,piastri,97.0,9,0,mclaren
2023,stroll,74.0,10,0,aston_martin
2023,gasly,62.0,11,0,alpine
2023,ocon,58.0,12,0,alpine
2023,albon,27.0,13,0,williams
2023,tsunoda,17.0,14,0,alphatauri
2023,bottas,10.0,15,0,alfa
2023,hulkenberg,9.0,16,0,haas
2023,ricciardo,6.0,17,0,alphatauri
2023,zhou,6.0,18,0,alfa
2023,kevin_magnussen,3.0,19,0,haas
2023,lawson,2.0,20,0,alphatauri
2023,sargeant,1.0,21,0,williams
2023,de_vries,0.0,22,0,alphatauri
2024,max_verstappen,437.0,1,9,red_bull
2024,norris,374.0,2,4,mclaren
2024,leclerc,356.0,3,3,ferrari
2024,piastri,292.0,4,2,mclaren
2024,sainz,290.0,5,2,ferrari
2024,russell,245.0,6,2,mercedes
2024,hamilton,223.0,7,2,mercedes
2024,perez,152.0,8,0,red_bull
2024,alonso,70.0,9,0,aston_martin
2024,gasly,42.0,10,0,alpine
2024,hulkenberg,41.0,11,0,haas
2024,tsunoda,30.0,12,0,rb
2024,stroll,24.0,13,0,aston_martin
2024,ocon,23.0,14,0,alpine
2024,kevin_magnussen,16.0,15,0,haas
2024,albon,12.0,16,0,williams
2024,ricciardo,12.0,17,0,rb
2024,bearman,7.0,18,0,ferrari
2024,colapinto,5.0,19,0,williams
2024,zhou,4.0,20,0,sauber
2024,lawson,4.0,21,0,rb
2024,bottas,0.0,22,0,sauber
2024,sargeant,0.0,23,0,williams
2024,doohan,0.0,24,0,alpine
